time,merchant_name,cohort_size
2017-01-01,1034_salsarita_salsarita,367
2017-01-08,1034_salsarita_salsarita,362
2017-01-15,1034_salsarita_salsarita,428
2017-01-22,1034_salsarita_salsarita,386
2017-01-29,1034_salsarita_salsarita,360
2017-02-05,1034_salsarita_salsarita,407
2017-02-12,1034_salsarita_salsarita,356
2017-02-19,1034_salsarita_salsarita,557
2017-02-26,1034_salsarita_salsarita,479
2017-03-05,1034_salsarita_salsarita,510
2017-03-12,1034_salsarita_salsarita,469
2017-03-19,1034_salsarita_salsarita,459
2017-03-26,1034_salsarita_salsarita,479
2017-04-02,1034_salsarita_salsarita,493
2017-04-09,1034_salsarita_salsarita,498
2017-04-16,1034_salsarita_salsarita,422
2017-04-23,1034_salsarita_salsarita,442
2017-04-30,1034_salsarita_salsarita,525
2017-05-07,1034_salsarita_salsarita,472
2017-05-14,1034_salsarita_salsarita,458
2017-05-21,1034_salsarita_salsarita,462
2017-05-28,1034_salsarita_salsarita,480
2017-06-04,1034_salsarita_salsarita,449
2017-06-11,1034_salsarita_salsarita,453
2017-06-18,1034_salsarita_salsarita,463
2017-06-25,1034_salsarita_salsarita,475
2017-07-02,1034_salsarita_salsarita,395
2017-07-09,1034_salsarita_salsarita,446
2017-07-16,1034_salsarita_salsarita,460
2017-07-23,1034_salsarita_salsarita,467
2017-07-30,1034_salsarita_salsarita,512
2017-08-06,1034_salsarita_salsarita,461
2017-08-13,1034_salsarita_salsarita,459
2017-08-20,1034_salsarita_salsarita,444
2017-08-27,1034_salsarita_salsarita,386
2017-09-03,1034_salsarita_salsarita,369
2017-09-10,1034_salsarita_salsarita,352
2017-09-17,1034_salsarita_salsarita,349
2017-09-24,1034_salsarita_salsarita,368
2017-10-01,1034_salsarita_salsarita,360
2017-10-08,1034_salsarita_salsarita,387
2017-10-15,1034_salsarita_salsarita,324
2017-10-22,1034_salsarita_salsarita,301
2017-10-29,1034_salsarita_salsarita,352
2017-11-05,1034_salsarita_salsarita,335
2017-11-12,1034_salsarita_salsarita,346
2017-11-19,1034_salsarita_salsarita,389
2017-11-26,1034_salsarita_salsarita,339
2017-12-03,1034_salsarita_salsarita,353
2017-12-10,1034_salsarita_salsarita,337
2017-12-17,1034_salsarita_salsarita,401
2017-12-24,1034_salsarita_salsarita,357
2017-12-31,1034_salsarita_salsarita,314
2018-01-07,1034_salsarita_salsarita,294
2018-01-14,1034_salsarita_salsarita,246
2018-01-21,1034_salsarita_salsarita,285
2018-01-28,1034_salsarita_salsarita,305
2018-02-04,1034_salsarita_salsarita,267
2018-02-11,1034_salsarita_salsarita,260
2018-02-18,1034_salsarita_salsarita,372
2018-02-25,1034_salsarita_salsarita,376
2018-03-04,1034_salsarita_salsarita,354
2018-03-11,1034_salsarita_salsarita,315
2018-03-18,1034_salsarita_salsarita,370
2018-03-25,1034_salsarita_salsarita,345
2018-04-01,1034_salsarita_salsarita,353
2018-04-08,1034_salsarita_salsarita,343
2018-04-15,1034_salsarita_salsarita,360
2018-04-22,1034_salsarita_salsarita,335
2018-04-29,1034_salsarita_salsarita,336
2018-05-06,1034_salsarita_salsarita,356
2018-05-13,1034_salsarita_salsarita,339
2018-05-20,1034_salsarita_salsarita,344
2018-05-27,1034_salsarita_salsarita,343
2018-06-03,1034_salsarita_salsarita,336
2018-06-10,1034_salsarita_salsarita,338
2018-06-17,1034_salsarita_salsarita,368
2018-06-24,1034_salsarita_salsarita,360
2018-07-01,1034_salsarita_salsarita,318
2018-07-08,1034_salsarita_salsarita,313
2018-07-15,1034_salsarita_salsarita,361
2018-07-22,1034_salsarita_salsarita,313
2018-07-29,1034_salsarita_salsarita,351
2018-08-05,1034_salsarita_salsarita,370
2018-08-12,1034_salsarita_salsarita,356
2018-08-19,1034_salsarita_salsarita,335
2018-08-26,1034_salsarita_salsarita,286
2018-09-02,1034_salsarita_salsarita,313
2018-09-09,1034_salsarita_salsarita,268
2018-09-16,1034_salsarita_salsarita,243
2018-09-23,1034_salsarita_salsarita,299
