acq_week,week,tenure,acq_quarter,merchant_index,merchant,parent_merchant,category,subcategory,N_week_cohort,active_users,orders,rpt_orders,spend,rpt_spend
2017-03-12,2017-03-12,0,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,534,931,397,4827.361,2038.96
2017-03-12,2017-03-19,1,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,344,849,849,4151.51,4151.51
2017-03-12,2017-03-26,2,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,280,764,764,3699.6,3699.6
2017-03-12,2017-04-02,3,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,290,705,705,3661.47,3661.47
2017-03-12,2017-04-09,4,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,262,662,662,3215.25,3215.25
2017-03-12,2017-04-16,5,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,259,602,602,2817.51,2817.51
2017-03-12,2017-04-23,6,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,256,681,681,3446.311,3446.311
2017-03-12,2017-04-30,7,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,252,648,648,3147.41,3147.41
2017-03-12,2017-05-07,8,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,233,554,554,2787.13,2787.13
2017-03-12,2017-05-14,9,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,228,566,566,2835.251,2835.251
2017-03-12,2017-05-21,10,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,218,526,526,2404.42,2404.42
2017-03-12,2017-05-28,11,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,215,490,490,2302.13,2302.13
2017-03-12,2017-06-04,12,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,217,551,551,2857.66,2857.66
2017-03-12,2017-06-11,13,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,194,499,499,2377.44,2377.44
2017-03-12,2017-06-18,14,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,204,503,503,2296.81,2296.81
2017-03-12,2017-06-25,15,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,209,453,453,2168.58,2168.58
